country,cca3,Africa,Asia,Europe,NorthAmerica,Oceania,SouthAmerica,ranking2021,ranking2020,pop2023,growthRate,landArea,hdi,education,gni,qol,happiness,crime,iq
Norway,NOR,0,0,1,0,0,0,51,58,5474360,0.00737,364285,0.961,13.0,64660,171.72,7.392,33.72,97.13
Sweden,SWE,0,0,1,0,0,0,57,40,10612086,0.00595,407283.5,0.947,12.6,54489,170.19,7.363,48,97
Mongolia,MNG,0,1,0,0,0,0,11,29,3447157,0.01436,1557506.8,,,,,5.677,56.01,91.03
Poland,POL,0,0,1,0,0,0,13,6,41026067,0.02933,306130,0.876,13.2,33034,127.79,6.166,30.5,96.35
Slovakia,SVK,0,0,1,0,0,0,39,40,5795199,0.02689,49035,0.848,12.9,30690,147.09,6.331,30.37,96.32
Russia,RUS,0,0,1,0,0,0,2,2,144444359,-0.00186,16376870,0.822,12.8,27166,97.91,5.477,39.99,96.29
Mexico,MEX,0,0,0,1,0,0,34,45,128455567,0.00746,1943950,,,,119.82,6.317,54.19,87.73
Lithuania,LTU,0,0,1,0,0,0,76,54,2718352,-0.01153,62620,0.875,13.5,37931,160.29,6.255,33.42,95.89
Croatia,HRV,0,0,1,0,0,0,21,32,4008617,-0.00539,55960,0.858,12.2,30132,155.41,5.882,24.59,95.75
Kazakhstan,KAZ,0,1,0,0,0,0,20,21,19606633,0.01076,2699700,0.811,12.3,23943,94.25,6.152,53.77,88.89
Ireland,IRL,0,0,1,0,0,0,93,70,5056935,0.00673,68890,0.945,11.6,76169,150.54,7.085,45.51,95.13
Iraq,IRQ,0,1,0,0,0,0,89,97,45504560,0.02266,434128,,,,,4.854,48.42,89.28
Czech Republic,CZE,0,0,1,0,0,0,16,23,10495295,0.00013,77198.5,,,,,6.965,25.52,94.92
Latvia,LVA,0,0,1,0,0,0,48,67,1830211,-0.01105,62230,0.863,13.3,32803,146.8,6.032,38.77,94.79
Israel,ISR,0,1,0,0,0,0,7,21,9174520,0.01507,21640,0.919,13.3,41524,143.65,7.157,31.47,92.43
Italy,ITA,0,0,1,0,0,0,7,6,58870762,-0.00282,295717,0.895,10.7,42840,137.77,6.483,44.85,94.23
Uruguay,URY,0,0,0,0,0,1,88,80,3423108,0.00009,175020,0.809,9.0,21269,122.42,6.431,51.73,87.59
Paraguay,PRY,0,0,0,0,0,1,87,75,6861524,0.01191,397300,,,,,5.653,49.37,84.04
Spain,ESP,0,0,1,0,0,0,63,31,47519628,-0.00082,499556.6,0.905,10.6,38354,163.48,6.491,33.32,93.9
Cyprus,CYP,0,0,1,0,0,0,77,80,1260138,0.00691,9240,0.896,12.4,38188,146.08,6.223,31.28,93.39
Portugal,PRT,0,0,1,0,0,0,54,44,10247605,-0.00227,91605.6,0.866,9.6,33155,159.83,5.929,29.91,92.77
Moldova,MDA,0,0,1,0,0,0,51,52,3435931,0.04978,32884.6,,,,,5.766,46.35,89.98
Myanmar,MMR,0,1,0,0,0,0,,91,54577997,0.00736,652670,,,,,4.426,46.51,91.18
Ukraine,UKR,0,0,1,0,0,0,6,11,36744634,-0.07448,579400,0.773,11.1,13256,107.8,4.875,47.42,90.07
Montenegro,MNE,0,0,1,0,0,0,79,73,626485,-0.00095,13450,0.832,12.2,20839,,5.581,41.18,85.78
Vietnam,VNM,0,1,0,0,0,0,14,17,98858950,0.00685,313429,,,,88.9,5.411,46.19,89.53
Serbia,SRB,0,0,1,0,0,0,31,25,7149077,-0.01001,87460,0.802,11.4,19123,117,6.078,38.1,89.6
Uzbekistan,UZB,0,1,0,0,0,0,61,69,35163944,0.01549,440650,,,,,6.179,33.42,89.01
Thailand,THA,0,1,0,0,0,0,16,5,71801279,0.00145,510890,0.800,8.7,17030,100.3,5.985,39.35,88.87
Armenia,ARM,0,1,0,0,0,0,37,37,2777970,-0.0009,28470,,,,,5.283,22.79,88.82
Bosnia and Herzegovina,BIH,0,0,1,0,0,0,40,56,3210847,-0.00701,51200,0.780,10.5,15242,,5.813,,88.54
Turkey,TUR,0,1,0,0,0,0,35,26,85816199,0.00557,783562,0.838,8.6,31033,124.19,4.948,39.62,86.8
Tajikistan,TJK,0,1,0,0,0,0,59,74,10143543,0.01917,138790,,,,,5.466,,87.71
Romania,ROU,0,0,1,0,0,0,27,15,19892812,0.01188,230080,0.821,11.3,30027,130.86,6.14,28.3,86.88
Turkmenistan,TKM,0,1,0,0,0,0,58,85,6516100,0.01327,469930,,,,,5.066,,85.86
Georgia,GEO,0,1,0,0,0,0,41,18,3728282,-0.0043,69490,0.802,12.8,14664,116.62,4.891,23.38,84.5
Dominican Republic,DOM,0,0,0,1,0,0,,,11332972,0.00928,48310,,,,,5.545,61.02,82.05
North Macedonia,MKD,0,0,1,0,0,0,45,72,2085679,-0.00378,25220,0.770,10.2,15918,108.25,5.101,39.12,81.91
Albania,ALB,0,0,1,0,0,0,94,77,2832439,-0.00348,27400,0.796,11.3,14131,,5.117,42.53,81.75
Philippines,PHL,0,1,0,0,0,0,23,43,117337368,0.01539,298170,,,,78.12,5.88,42.46,81.64
Peru,PER,0,0,0,0,0,1,30,36,34352719,0.0089,1280000,,,,81.29,5.84,66.72,81.44
Iran,IRN,0,1,0,0,0,0,29,18,89172767,0.00703,1622500,0.774,10.6,13001,63.6,4.721,49.38,80.01
Pakistan,PAK,0,1,0,0,0,0,103,82,240485658,0.01976,770880,,,,102.15,4.934,42.51,80
Tunisia,TUN,1,0,0,0,0,0,56,71,12458223,0.00826,155360,,,,,4.596,43.69,79.22
Kyrgyzstan,KGZ,0,1,0,0,0,0,73,76,6735347,0.01579,191800,,,,,5.744,56.87,79.09
Panama,PAN,0,0,0,1,0,0,72,84,4468087,0.0135,74180,0.805,10.5,26957,111.13,6.18,45.15,79
Indonesia,IDN,0,1,0,0,0,0,33,32,277534122,0.00738,1877519,,,,90.15,5.345,45.93,78.49
Ecuador,ECU,0,0,0,0,0,1,73,64,18190484,0.01053,248360,,,,116.27,5.764,55.23,78.26
Bolivia,BOL,0,0,0,0,0,1,77,93,12388571,0.01345,1083300,,,,,5.716,57.77,76.53
Uganda,UGA,1,0,0,0,0,0,101,87,48582334,0.02821,200520,,,,,4.636,56.12,76.42
Saudi Arabia,SAU,0,1,0,0,0,0,38,59,36947025,0.01478,2149690,0.875,11.3,46112,144.69,6.494,25.23,76.36
Egypt,EGY,1,0,0,0,0,0,103,,112716598,0.01556,995450,,,,87.21,4.283,46.83,76.32
India,IND,0,1,0,0,0,0,26,,1428627663,0.00808,2973190,,,,103,3.819,44.43,76.24
Algeria,DZA,1,0,0,0,0,0,89,100,45606480,0.01566,2381741,,,,,4.887,52.03,76
Kenya,KEN,1,0,0,0,0,0,103,104,55100586,0.01986,569140,,,,76.92,4.607,60.14,75.2
Tanzania,TZA,1,0,0,0,0,0,,98,67438106,0.02963,885800,,,,,3.623,56,74.95
Bangladesh,BGD,0,1,0,0,0,0,43,38,172954319,0.01033,130170,,,,64.54,5.025,63.9,74.33
Rwanda,RWA,1,0,0,0,0,0,101,,14094683,0.02308,24670,,,,,3.415,24.89,69.95
Botswana,BWA,1,0,0,0,0,0,107,100,2675352,0.01713,566730,,,,,3.467,52.98,69.45
South Africa,ZAF,1,0,0,0,0,0,60,61,60414495,0.00869,1213090,,,,131.37,4.956,76.86,68.87
Nigeria,NGA,1,0,0,0,0,0,100,86,223804632,0.02408,910770,,,,54.71,4.759,64.06,67.76
Morocco,MAR,1,0,0,0,0,0,75,90,37840044,0.0102,446300,,,,105.04,4.918,48.66,67.03
Honduras,HND,0,0,0,1,0,0,92,88,10593798,0.01543,111890,,,,,5.919,74.54,62.16
Mauritania,MRT,1,0,0,0,0,0,98,,4862989,0.02678,1030700,,,,,4.227,,59.76
Ghana,GHA,1,0,0,0,0,0,94,93,34121985,0.0193,227533,,,,,5.088,46.98,58.16
Nicaragua,NIC,0,0,0,1,0,0,81,95,7046310,0.01409,120340,,,,,5.972,47.89,52.69
Nepal,NPL,0,1,0,0,0,0,91,102,30896590,0.01143,143350,,,,,5.269,36.01,42.99
ElSalvador,SLV,0,0,0,1,0,0,71,68,6364943,0.00451,20720,,,,,6.061,,
SriLanka,LKA,0,1,0,0,0,0,81,61,21893579,0.00281,61860,0.782,10.8,12578,,4.325,,
